Node ID,Latitude,Longitude,Edge
245715142,23.6563,86.943,"(245715142, 245715151)"
245715151,23.6571774,86.9282032,"(245715151, 245715152)"
245715152,23.6569299,86.9530448,"(245715152, 245715170)"
245715170,23.6628632,86.9594591,"(245715170, 245715171)"
245715171,23.6635845,86.9249714,"(245715171, 245715204)"
245715204,23.6659741,86.934617,"(245715204, 245715206)"
245715206,23.6633674,86.9303114,"(245715206, 245715213)"
245715213,23.6686855,86.985521,"(245715213, 245715222)"
245715222,23.672013,86.9982964,"(245715222, 245715235)"
245715235,23.6648815,86.9769256,"(245715235, 245715239)"
245715239,23.6779277,86.9435246,"(245715239, 245715249)"
245715249,23.667122,86.9420671,"(245715249, 245715270)"
245715270,23.6811757,87.0007589,"(245715270, 245715281)"
245715281,23.6800605,87.0026839,"(245715281, 245715302)"
245715302,23.684849,87.0015868,"(245715302, 245715322)"
245715322,23.6826311,86.9403861,"(245715322, 245715335)"
245715335,23.6971524,86.9390799,"(245715335, 245715344)"
245715344,23.6900837,86.9330013,"(245715344, 245715354)"
245715354,23.6819795,86.9867412,"(245715354, 245715465)"
245715465,23.7080394,86.9793578,"(245715465, 245715466)"
245715466,23.6980896,86.9385509,"(245715466, 245715472)"
245715472,23.7037964,86.9667959,"(245715472, 245715479)"
245715479,23.7070175,86.9821722,"(245715479, 245715480)"
245715480,23.7056861,86.9547866,"(245715480, 245715486)"
245715486,23.7025567,86.9928509,"(245715486, 245715497)"
245715497,23.6928504,86.9971098,"(245715497, 245715503)"
245715503,23.7060843,86.957686,"(245715503, 245715509)"
245715509,23.7054,86.9683,"(245715509, 245715541)"
245715541,23.7115547,86.8977176,"(245715541, 245715574)"
245715574,23.7172364,86.8792286,"(245715574, 252584702)"
252584702,23.6911266,86.9757462,"(252584702, 252584703)"
252584703,23.6648496,87.0162555,"(252584703, 582022288)"
582022288,23.6381391,86.9023619,"(582022288, 720609731)"
720609731,23.6741983,87.0056158,"(720609731, 720609734)"
720609734,23.6503428,87.0269173,"(720609734, 720609741)"
720609741,23.6936364,86.9643417,"(720609741, 720609745)"
720609745,23.6818195,87.001627,"(720609745, 720609747)"
720609747,23.6950302,86.9585312,"(720609747, 720609748)"
720609748,23.6509891,86.9085894,"(720609748, 720609761)"
720609761,23.6656966,86.9811111,"(720609761, 720609764)"
720609764,23.6416664,87.0365744,"(720609764, 720609767)"
720609767,23.7024357,86.9376703,"(720609767, 720609769)"
720609769,23.6929029,86.9541248,"(720609769, 720609774)"
720609774,23.6824279,86.9354327,"(720609774, 720609779)"
720609779,23.6554234,86.9177287,"(720609779, 720609789)"
720609789,23.6690121,87.0008705,"(720609789, 720609805)"
720609805,23.6509732,86.9291467,"(720609805, 720609811)"
720609811,23.6531587,86.9023331,"(720609811, 720609819)"
720609819,23.6593377,86.9615611,"(720609819, 720609823)"
720609823,23.6727483,86.9394551,"(720609823, 720609839)"
720609839,23.6710268,87.0029554,"(720609839, 720609851)"
720609851,23.6854193,86.9931227,"(720609851, 720609854)"
720609854,23.7014346,86.9396425,"(720609854, 720609855)"
