@id,area,highway,name,centroid_lon,centroid_lat,source,bridge,layer,oneway,lanes,surface,ref,foot,service,junction,name:en,trail_visibility,incline,access,bicycle,horse,motor_vehicle,maxspeed,tunnel,lit,railway,description,segregated,construction,maxspeed:advisory,minspeed,overtaking,sidewalk,check_date
way/1017270121,yes,services,Administrative Area,88.44804477527931,22.97743265033339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/44370899,,trunk,Kalyani-Barrackpur expressway,88.40043779785057,22.96645798992607,Yahoo hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/44370909,,trunk,Ishwar Gupta Setu,88.4085092372241,22.967459385486407,Yahoo hires,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way/44370932,,trunk,,88.41736141150587,22.967120136164596,Yahoo hires,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/44371015,,trunk,Kalyani-Barrackpur expressway,88.39537504242695,22.966047713508217,Yahoo hires,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way/44371042,,trunk,Kalyani-Barrackpur expressway,88.39190451197355,22.96602320417492,Yahoo hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/44371254,,trunk,,88.3894629882983,22.966649215229996,Yahoo hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/44371313,,trunk_link,,88.38951972378234,22.966282408647718,Yahoo hires,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/44371363,,tertiary,,88.38940534884865,22.966318566436094,Yahoo hires,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/44962937,,tertiary,Kalyani-Barrackpur expressway,88.42567917370405,22.96343996108731,Yahoo hires,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/44963121,,trunk,Kalyani-Barrackpur expressway,88.45698453822607,22.954069893549253,Yahoo hires,yes,4,yes,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,
way/44963123,,trunk,Kalyani-Barrackpur expressway,88.45871046369359,22.950057539266737,Yahoo hires,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/44963154,,primary,,88.42856257166706,22.964737391399332,Yahoo hires,,,yes,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/44963155,,primary,,88.42658550210409,22.961831548157246,Yahoo hires,,,,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/44963182,,primary,,88.4326052428321,22.971951347091636,Yahoo hires,,,yes,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/44963235,,primary,Central Park,88.43503806383681,22.97466664816116,,,,yes,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/44963237,,tertiary,,88.42991931240262,22.973713851440923,Yahoo hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/44963238,,tertiary,,88.43872327983236,22.972695355219553,Yahoo hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/44963239,,tertiary,,88.44030080966037,22.976452358910493,Yahoo hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/44963240,,tertiary,,88.42871316569082,22.978151713646973,Yahoo hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/44963241,,tertiary,,88.433452855357,22.97923044244922,Yahoo hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/44963244,,primary,,88.43646356097345,22.977914135641118,Yahoo hires,,,yes,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/51765509,,tertiary,,88.41937484334088,22.94497085271581,Yahoo hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/52153757,,trunk,Grand Trunk Road,88.38701847724931,22.97028124979033,Yahoo hires,,,,,,SH6,,,,,,,,,,,,,,,,,,,,,,
way/52246556,,primary,,88.41526323200902,22.932310997600688,Yahoo hires,,,,,,SH1,yes,,,,,,,,,,,,,,,,,,,,,
way/52246592,,trunk,Kalyani-Barrackpur expressway,88.44532856106349,22.958104431742456,Yahoo hires,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/52246594,,primary,,88.4284084104435,22.964007214405633,Yahoo hires,,,,,,SH1,,,,,,,,,,,,,,,,,,,,,,
way/52246735,,secondary,,88.46511211395662,22.949808398890948,Yahoo hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/52246736,,trunk,Kalyani-Barrackpur expressway,88.45890873641906,22.938688574539597,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/90843713,,residential,KGEC Campus Rd,88.44769791537453,22.990731443324062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
