Node ID,Latitude,Longitude,Edge
245714222,23.5227215,87.3189946,"(245714222, 252584710)"
252584710,23.5382632,87.2466484,"(252584710, 252586786)"
252586786,23.5243368,87.2631246,"(252586786, 252586787)"
252586787,23.5206272,87.268692,"(252586787, 252586790)"
252586790,23.5100953,87.2889864,"(252586790, 253068392)"
253068392,23.5564338,87.2251267,"(253068392, 253068398)"
253068398,23.5518133,87.2305816,"(253068398, 253068399)"
253068399,23.5454408,87.2381276,"(253068399, 253068400)"
253068400,23.5426522,87.2414535,"(253068400, 273483977)"
273483977,23.5715055,87.303347,"(273483977, 273483984)"
273483984,23.5714936,87.3050165,"(273483984, 273514004)"
273514004,23.5688077,87.3179349,"(273514004, 273514008)"
273514008,23.5686838,87.3024179,"(273514008, 273514009)"
273514009,23.5722662,87.3025464,"(273514009, 273515395)"
273515395,23.5675807,87.3178568,"(273515395, 273515398)"
273515398,23.5685061,87.3179298,"(273515398, 273518363)"
273518363,23.5727048,87.3286155,"(273518363, 273518366)"
273518366,23.5733961,87.3295722,"(273518366, 273518369)"
273518369,23.5741445,87.3303842,"(273518369, 273518371)"
273518371,23.5743698,87.3311234,"(273518371, 273518374)"
273518374,23.5746173,87.3323281,"(273518374, 273518375)"
273518375,23.5747328,87.3332852,"(273518375, 273518376)"
273518376,23.5749638,87.3346219,"(273518376, 273518377)"
273518377,23.5752444,87.3362887,"(273518377, 273518378)"
273518378,23.5755414,87.3385825,"(273518378, 273518380)"
273518380,23.5757395,87.3399357,"(273518380, 273518383)"
273518383,23.576119,87.3421635,"(273518383, 273518386)"
273518386,23.5765811,87.3440943,"(273518386, 273518402)"
273518402,23.5770432,87.3446554,"(273518402, 273518412)"
273518412,23.5780003,87.3459921,"(273518412, 273518415)"
273518415,23.5789574,87.3472133,"(273518415, 273518418)"
273518418,23.579172,87.3472298,"(273518418, 273518421)"
273518421,23.5797331,87.3471968,"(273518421, 273518422)"
273518422,23.5809212,87.3471638,"(273518422, 273518423)"
273518423,23.5815813,87.3474278,"(273518423, 273518424)"
273518424,23.5818949,87.3476423,"(273518424, 273518425)"
273518425,23.5816947,87.3479767,"(273518425, 304317313)"
304317313,23.5366793,87.2945554,"(304317313, 305195194)"
305195194,23.5481674,87.3076776,"(305195194, 305382080)"
305382080,23.5640898,87.2815225,"(305382080, 305448967)"
305448967,23.5612106,87.2533986,"(305448967, 305449165)"
305449165,23.5504597,87.2686323,"(305449165, 305449167)"
305449167,23.5584925,87.2570765,"(305449167, 305454991)"
305454991,23.5609966,87.2539354,"(305454991, 305455001)"
305455001,23.5615883,87.2531308,"(305455001, 310335468)"
310335468,23.5358449,87.299155,"(310335468, 318461484)"
318461484,23.5615644,87.2529004,"(318461484, 318461485)"
318461485,23.5608006,87.2540136,"(318461485, 794148319)"
794148319,23.5571468,87.2546329,"(794148319, 794148326)"
794148326,23.5523606,87.2311911,"(794148326, 794148331)"
794148331,23.5636394,87.2322273,"(794148331, 794148332)"
794148332,23.527522,87.2606861,"(794148332, 794148342)"
794148342,23.5821467,87.2250258,"(794148342, 794148352)"
794148352,23.5319897,87.2659893,"(794148352, 797997724)"
797997724,23.5066125,87.2446264,"(797997724, 797997725)"
797997725,23.5475011,87.1847827,"(797997725, 797997726)"
797997726,23.5638831,87.1918327,"(797997726, 797997729)"
797997729,23.4845093,87.2728267,"(797997729, 797997731)"
797997731,23.5801653,87.3442671,"(797997731, 797997734)"
797997734,23.52781,87.2131469,"(797997734, 797997740)"
797997740,23.5523107,87.1674034,"(797997740, 797997741)"
797997741,23.558262,87.2064355,"(797997741, 797997746)"
797997746,23.5040565,87.2711871,"(797997746, 797997749)"
797997749,23.5365286,87.2001945,"(797997749, 797997752)"
797997752,23.5656514,87.1716233,"(797997752, 797997755)"
797997755,23.5237441,87.2450706,"(797997755, 797997757)"
797997757,23.5515621,87.2158466,"(797997757, 797997759)"
797997759,23.5867816,87.3348652,"(797997759, 797997762)"
797997762,23.4935069,87.287465,"(797997762, 797997767)"
797997767,23.4939825,87.2620056,"(797997767, 797997772)"
797997772,23.5157724,87.2511645,"(797997772, 797997775)"
797997775,23.4720718,87.2936725,"(797997775, 797997776)"
797997776,23.4846164,87.299809,"(797997776, 797997781)"
797997781,23.5015005,87.2470857,"(797997781, 797997783)"
797997783,23.5440441,87.1900292,"(797997783, 797997784)"
797997784,23.5661374,87.1869141,"(797997784, 797997786)"
797997786,23.5658178,87.1639741,"(797997786, 797997787)"
797997787,23.4810506,87.2779093,"(797997787, 797997791)"
797997791,23.5246532,87.2190493,"(797997791, 797997795)"
797997795,23.5112732,87.2377402,"(797997795, 797997799)"
797997799,23.5518599,87.1744535,"(797997799, 797997801)"
797997801,23.5588434,87.2014019,"(797997801, 797997806)"
797997806,23.5076649,87.2661045,"(797997806, 797997809)"
797997809,23.5344242,87.2029817,"(797997809, 797997813)"
797997813,23.528712,87.242167,"(797997813, 797997816)"
797997816,23.5545077,87.2144586,"(797997816, 797997823)"
797997823,23.4947843,87.2849562,"(797997823, 797997830)"
797997830,23.4915767,87.2651208,"(797997830, 797997835)"
797997835,23.5664379,87.1823233,"(797997835, 797997839)"
797997839,23.5180933,87.2500828,"(797997839, 797997844)"
797997844,23.4739161,87.2951857,"(797997844, 797997849)"
797997849,23.4878175,87.2964362,"(797997849, 797997856)"
797997856,23.4981926,87.2520043,"(797997856, 797997859)"
797997859,23.5114236,87.2618417,"(797997859, 797997861)"
797997861,23.4765392,87.2859431,"(797997861, 797997865)"
797997865,23.5207446,87.2247878,"(797997865, 797997869)"
797997869,23.5088677,87.2418391,"(797997869, 797997870)"
797997870,23.5503569,87.179864,"(797997870, 797997872)"
797997872,23.561178,87.1956037,"(797997872, 797997876)"
797997876,23.4876671,87.268072,"(797997876, 797997878)"
797997878,23.5309668,87.2077364,"(797997878, 797997885)"
797997885,23.5377115,87.2320893,"(797997885, 797997889)"
797997889,23.5536634,87.1621568,"(797997889, 797997890)"
797997890,23.5567437,87.2110568,"(797997890, 797997897)"
797997897,23.5005984,87.2759418,"(797997897, 797997902)"
797997902,23.5417895,87.1936362,"(797997902, 797997905)"
797997905,23.5655362,87.1769128,"(797997905, 797997910)"
797997910,23.5200194,87.2477499,"(797997910, 797997914)"
797997914,23.4901907,87.2934929,"(797997914, 797997920)"
797997920,23.4956365,87.256923,"(797997920, 797997927)"
797997927,23.5139794,87.2590544,"(797997927, 797997930)"
797997930,23.474133,87.2902059,"(797997930, 797997932)"
797997932,23.5172869,87.2297064,"(797997932, 813334049)"
813334049,23.5350475,87.3380425,"(813334049, 834463123)"
834463123,23.5851231,87.2190161,"(834463123, 834463463)"
834463463,23.5884257,87.2095063,"(834463463, 834464207)"
834464207,23.5837123,87.2223264,"(834464207, 1184358517)"
1184358517,23.5447029,87.278805,"(1184358517, 1184358518)"
1184358518,23.5411118,87.2856169,"(1184358518, 1184358564)"
1184358564,23.5268065,87.311671,"(1184358564, 1184358568)"
1184358568,23.5829639,87.2239462,"(1184358568, 1184358577)"
1184358577,23.5274128,87.3105495,"(1184358577, 1184358582)"
1184358582,23.5838271,87.2223998,"(1184358582, 1184358627)"
1184358627,23.5601521,87.2550638,"(1184358627, 1184358631)"
1184358631,23.5843782,87.2209317,"(1184358631, 1184358640)"
1184358640,23.5472898,87.2743787,"(1184358640, 1184358691)"
1184358691,23.5539023,87.2633817,"(1184358691, 1184358694)"
1184358694,23.5307619,87.3045041,"(1184358694, 1184358709)"
1184358709,23.5844919,87.2209553,"(1184358709, 1184358775)"
1184358775,23.5828702,87.2238763,"(1184358775, 1184358784)"
1184358784,23.5295369,87.3064529,"(1184358784, 1184358806)"
1184358806,23.5486491,87.2719224,"(1184358806, 1184358876)"
1184358876,23.5505392,87.2687024,"(1184358876, 1184358888)"
1184358888,23.5485522,87.2718162,"(1184358888, 1184358894)"
1184358894,23.5852384,87.2190335,"(1184358894, 1184358938)"
1184358938,23.5662246,87.2468679,"(1184358938, 1184358944)"
1184358944,23.5732996,87.2370556,"(1184358944, 1184359021)"
1184359021,23.554016,87.2634587,"(1184359021, 1184359044)"
1184359044,23.5471895,87.2743006,"(1184359044, 1184359073)"
1184359073,23.5884871,87.2097016,"(1184359073, 1184359129)"
1184359129,23.5822232,87.2251171,"(1184359129, 1327292219)"
1327292219,23.5028054,87.2838235,"(1327292219, 1327292223)"
1327292223,23.5030132,87.2845544,"(1327292223, 1327292250)"
1327292250,23.503237,87.2797554,"(1327292250, 1327292254)"
1327292254,23.5033305,87.2886962,"(1327292254, 1327292258)"
1327292258,23.5034796,87.2790888,"(1327292258, 1327292282)"
1327292282,23.5034412,87.2852826,"(1327292282, 1327292297)"
1327292297,23.5042946,87.277925,"(1327292297, 1327292299)"
